bin1 bin2 count
103 3083 11 5.086229766307076e-11
104 3083 14 4.724210692382718e-15
108 1906 13 1.1295061582104784e-13
111 4920 35 2.3154151027681997e-49
113 3883 12 2.499011608308997e-12
124 4930 13 1.1295061582104784e-13
133 2703 10 9.456933759848595e-10
133 2704 21 1.7261417027865884e-25
168 585 21 1.7261417027865884e-25
168 586 10 9.456933759848595e-10
179 871 20 6.3436412040036335e-24
180 401 29 9.970824759824369e-39
180 402 21 1.7261417027865884e-25
180 403 20 6.3436412040036335e-24
180 404 10 9.456933759848595e-10
180 430 10 9.456933759848595e-10
180 1086 15 1.8378350711078343e-16
180 1087 11 5.086229766307076e-11
180 1089 10 9.456933759848595e-10
180 1091 10 9.456933759848595e-10
180 1092 10 9.456933759848595e-10
180 3083 65 5.362761750226085e-109
186 1127 13 1.1295061582104784e-13
210 704 10 9.456933759848595e-10
214 2715 15 1.8378350711078343e-16
222 1929 29 9.970824759824369e-39
260 1214 13 1.1295061582104784e-13
268 2782 10 9.456933759848595e-10
270 1602 10 9.456933759848595e-10
271 3069 19 2.2124811233675724e-22
273 2397 36 3.4804215409160145e-51
277 1946 14 4.724210692382718e-15
277 3562 17 2.276949513284109e-19
295 912 13 1.1295061582104784e-13
299 1159 14 4.724210692382718e-15
304 3912 23 1.102104415209943e-28
309 2611 25 5.850259254768592e-32
318 3218 16 6.679588877218486e-18
319 1973 14 4.724210692382718e-15
323 5045 13 1.1295061582104784e-13
326 1420 13 1.1295061582104784e-13
337 1126 16 6.679588877218486e-18
344 4114 15 1.8378350711078343e-16
346 3291 10 9.456933759848595e-10
347 3069 10 9.456933759848595e-10
348 4340 12 2.499011608308997e-12
365 731 11 5.086229766307076e-11
401 3083 29 9.970824759824369e-39
402 3083 31 3.269661026104818e-42
402 4614 10 9.456933759848595e-10
403 3083 23 1.102104415209943e-28
404 3083 31 3.269661026104818e-42
405 3083 30 1.8387855596234744e-40
406 3083 24 2.5962124294894867e-30
407 2496 15 1.8378350711078343e-16
407 3083 27 2.616398858529923e-35
408 3083 15 1.8378350711078343e-16
409 3083 11 5.086229766307076e-11
410 3083 13 1.1295061582104784e-13
411 3083 13 1.1295061582104784e-13
412 3083 14 4.724210692382718e-15
413 3083 14 4.724210692382718e-15
414 3083 21 1.7261417027865884e-25
415 3083 16 6.679588877218486e-18
416 3083 22 4.467592626069736e-27
417 3083 20 6.3436412040036335e-24
418 3083 25 5.850259254768592e-32
419 3083 19 2.2124811233675724e-22
420 3083 17 2.276949513284109e-19
421 3083 15 1.8378350711078343e-16
422 3083 25 5.850259254768592e-32
423 3083 14 4.724210692382718e-15
424 3083 15 1.8378350711078343e-16
425 1745 10 9.456933759848595e-10
425 3083 12 2.499011608308997e-12
426 3083 12 2.499011608308997e-12
428 3083 15 1.8378350711078343e-16
429 3083 13 1.1295061582104784e-13
430 3055 11 5.086229766307076e-11
430 3083 21 1.7261417027865884e-25
431 3083 24 2.5962124294894867e-30
432 3083 17 2.276949513284109e-19
433 3083 16 6.679588877218486e-18
434 3083 19 2.2124811233675724e-22
