bin1 bin2 count
3082 3827 14
3082 3828 17
3082 3829 15
3082 3830 11
3082 3831 19
3082 3832 14
3082 3833 13
3082 3834 13
3082 3835 27
3082 3836 10
3082 3837 16
3082 3838 21
3082 3839 19
3082 3840 20
3082 3841 19
3082 3842 29
3082 3843 25
3082 3844 21
3082 3845 8
3082 3846 14
3082 3847 12
3082 3848 15
3082 3849 13
3082 3850 11
3082 3853 8
3082 3859 11
3082 3860 15
3082 3861 8
3082 3863 8
3082 3864 14
3082 3865 8
3082 3866 11
3082 3869 9
3082 3871 9
3082 3873 10
3082 3875 9
3082 3876 9
3082 3878 8
3082 3882 8
3082 3897 8
3082 3924 8
3082 4061 34
3082 4062 20
3082 4063 20
3082 4064 21
3082 4065 16
3082 4066 16
3082 4067 24
3082 4068 26
3082 4069 20
3082 4070 18
3082 4071 27
3082 4072 24
3082 4073 25
3082 4074 18
3082 4075 27
3082 4076 17
3082 4077 15
3082 4078 24
3082 4079 20
3082 4080 21
3082 4081 19
3082 4082 12
3082 4083 16
3082 4084 19
3082 4085 16
3082 4086 16
3082 4087 24
3082 4088 17
3082 4089 11
3082 4090 20
3082 4091 16
3082 4092 21
3082 4093 16
3082 4094 16
3082 4095 14
3082 4096 15
3082 4097 12
3082 4098 15
3082 4099 17
3082 4100 14
3082 4101 11
3082 4102 17
3082 4103 11
3082 4104 10
3082 4105 9
3082 4106 9
3082 4108 11
3082 4109 10
3082 4110 11
3082 4111 13
3082 4112 8
3082 4114 9
3082 4115 12
3082 4116 14
3082 4119 11
3082 4120 11
3082 4122 8
3082 4123 11
3082 4124 8
3082 4125 8
3082 4126 11
3082 4127 13
3082 4128 15
3082 4129 10
3082 4130 8
3082 4131 12
3082 4132 11
3082 4137 12
3082 4141 8
3082 4220 8
3082 4254 254
3082 4268 20
3082 4269 22
3082 4270 24
3082 4271 24
3082 4272 24
3082 4273 13
3082 4274 19
3082 4275 18
3082 4276 14
3082 4277 14
3082 4278 20
3082 4279 15
3082 4280 13
3082 4281 12
3082 4282 16
3082 4283 9
3082 4284 12
3082 4286 19
3082 4287 15
3082 4288 11
3082 4289 13
3082 4290 16
3082 4291 15
3082 4292 8
3082 4293 14
3082 4294 16
3082 4295 10
3082 4296 16
3082 4297 10
3082 4298 10
3082 4299 9
3082 4300 10
3082 4301 11
3082 4303 10
3082 4304 11
3082 4305 11
3082 4306 8
3082 4307 9
3082 4312 8
3082 4315 9
3082 4318 9
3082 4319 9
3082 4323 10
3082 4326 10
3082 4327 9
3082 4331 9
3082 4334 10
3082 4335 8
3082 4341 8
3082 4346 8
3082 4465 51
3082 4466 32
3082 4467 33
3082 4468 27
3082 4469 19
3082 4470 11
3082 4471 17
3082 4474 10
3082 4476 14
3082 4477 23
3082 4478 17
3082 4479 24
3082 4480 15
3082 4481 18
3082 4482 14
3082 4483 20
3082 4484 13
3082 4485 9
3082 4486 10
3082 4487 13
3082 4488 16
3082 4489 17
3082 4490 13
3082 4491 13
3082 4492 12
3082 4493 10
3082 4494 16
3082 4495 17
3082 4497 15
3082 4498 10
3082 4499 14
3082 4500 9
3082 4502 13
3082 4504 8
3082 4506 11
3082 4507 14
3082 4508 9
3082 4510 8
3082 4511 8
3082 4512 8
3082 4513 11
3082 4514 9
3082 4516 9
3082 4519 11
3082 4521 10
3082 4523 12
3082 4524 8
3082 4529 8
3082 4530 9
3082 4535 9
3082 4656 46
3082 4657 9
3082 4659 11
3082 4664 9
3082 4679 8
3082 4684 8
3082 4838 9
3082 4839 14
3082 4841 11
3082 4844 13
3082 4847 8
3082 4852 9
3082 4856 9
3082 4857 9
3082 4858 13
3082 4859 12
3082 4861 8
3082 4864 8
3082 4867 8
3082 4870 10
3082 4871 10
3082 4874 8
3082 4877 9
3082 4900 8
3082 4902 8
3082 4914 8
3082 4915 9
3082 4965 8
3082 4966 12
3082 4967 10
3082 4968 11
3082 4972 11
3082 4973 11
3082 4974 13
3082 4975 8
3082 4976 14
3082 4977 10
3082 4978 15
3082 4980 9
3082 4981 9
3082 4987 8
3082 4988 8
3082 4990 8
3082 4991 8
3082 4996 9
3082 4997 8
3082 5000 9
3082 5044 8
3085 4326 9
3108 3614 11
3118 4566 11
3134 4328 20
3141 4881 21
3141 4882 12
3152 4395 16
3201 3702 10
3201 4218 11
3231 4106 25
3231 4174 9
3242 3618 9
3242 3673 16
3243 3673 9
3243 4126 9
3263 5087 13
3284 3462 11
3293 4538 66
3305 4902 14
3319 4953 16
3319 4954 28
3336 4560 17
3377 3715 23
3399 5123 22
3415 5170 11
3416 4300 10
3455 5254 8
3463 3803 8
3541 3774 20
3544 5248 11
3558 4169 9
3597 3878 9
3642 4667 14
3644 4606 9
3679 4254 254
3697 4988 11
3715 4670 11
3761 4379 18
3905 4968 10
3936 4324 8
3943 4931 8
3956 5095 8
4031 4940 10
4063 4828 8
4092 4613 8
4165 4722 8
4218 4621 10
4246 4739 10
4254 4271 10
4254 4272 12
4254 4273 9
4254 4274 8
4254 4280 9
4254 4281 8
4254 4282 9
4254 4287 8
4254 4291 11
4254 4293 9
4254 4294 8
4254 4296 10
4254 4297 8
4254 4301 8
4254 4656 10
4268 4656 14
4268 4838 13
4268 4860 11
4297 4841 8
4376 4998 9
4377 4467 8
4482 4950 10
4508 4843 8
4527 4900 11
4538 4797 12
4550 5253 8
4908 5208 10
4924 4973 9
