cell_nm	passed_qc	group
1CDX2_168	0	NA
1CDX2_171	1	early-S
1CDX2_172	1	early-S
1CDX2_173	1	early-S
1CDX2_174	1	early-S
1CDX2_175	1	early-S
1CDX2_176	1	late-S/G2
1CDX2_177	1	early-S
1CDX2_178	0	NA
1CDX2_181	1	early-S
1CDX2_182	1	early-S
1CDX2_183	1	early-S
1CDX2_184	1	early-S
1CDX2_185	1	early-S
1CDX2_186	1	early-S
1CDX2_187	1	early-S
1CDX2_188	0	NA
1CDX2_191	1	early-S
1CDX2_192	1	early-S
1CDX2_193	1	early-S
1CDX2_194	1	early-S
1CDX2_195	1	early-S
1CDX2_196	1	early-S
1CDX2_197	1	early-S
1CDX2_198	0	NA
1CDX2_201	0	NA
1CDX2_202	1	early-S
1CDX2_203	1	early-S
1CDX2_204	1	early-S
1CDX2_205	1	early-S
1CDX2_206	1	early-S
1CDX2_207	1	early-S
1CDX2_208	0	NA
1CDX2_211	1	early-S
1CDX2_212	1	early-S
1CDX2_213	1	early-S
1CDX2_214	1	late-S/G2
1CDX2_215	1	early-S
1CDX2_216	1	early-S
1CDX2_217	1	early-S
1CDX2_218	0	NA
1CDX2_221	1	early-S
1CDX2_222	1	early-S
1CDX2_223	0	NA
1CDX2_224	1	early-S
1CDX2_225	1	early-S
1CDX2_226	0	NA
1CDX2_227	1	early-S
1CDX2_228	0	NA
1CDX2_231	0	NA
1CDX2_232	1	early-S
1CDX2_233	1	early-S
1CDX2_234	1	early-S
1CDX2_235	1	early-S
1CDX2_236	1	early-S
1CDX2_237	1	early-S
1CDX2_238	0	NA
1CDX2_241	1	early-S
1CDX2_242	1	early-S
1CDX2_243	1	early-S
1CDX2_244	1	early-S
1CDX2_245	1	early-S
1CDX2_246	0	NA
1CDX2_247	0	NA
1CDX2_248	0	NA
1CDX2_251	0	NA
1CDX2_252	0	NA
1CDX2_253	0	NA
1CDX2_254	1	early-S
1CDX2_255	1	early-S
1CDX2_256	1	early-S
1CDX2_257	1	early-S
1CDX2_258	0	NA
1CDX2_261	0	NA
1CDX2_262	1	late-S/G2
1CDX2_263	1	early-S
1CDX2_264	1	early-S
1CDX2_265	1	early-S
1CDX2_266	1	early-S
1CDX2_267	1	early-S
1CDX2_268	0	NA
1CDX2_271	0	NA
1CDX2_272	1	early-S
1CDX2_273	1	early-S
1CDX2_274	1	early-S
1CDX2_275	1	early-S
1CDX2_276	1	early-S
1CDX2_277	1	late-S/G2
1CDX2_278	0	NA
1CDX2_281	0	NA
1CDX2_282	1	early-S
1CDX2_283	1	early-S
1CDX2_284	1	early-S
1CDX2_285	1	early-S
1CDX2_286	1	late-S/G2
1CDX2_287	1	early-S
1CDX2_288	0	NA
1CDX2_291	0	NA
1CDX2_292	0	NA
1CDX2_293	1	early-S
1CDX2_294	1	early-S
1CDX2_295	1	early-S
1CDX2_296	1	early-S
1CDX2_297	1	early-S
1CDX2_298	0	NA
1CDX2_301	1	early-S
1CDX2_302	1	early-S
1CDX2_303	1	early-S
1CDX2_304	1	early-S
1CDX2_305	1	early-S
1CDX2_306	1	early-S
1CDX2_307	1	late-S/G2
1CDX2_308	0	NA
1CDX2_311	0	NA
1CDX2_312	1	early-S
1CDX2_313	1	early-S
1CDX2_314	1	early-S
1CDX2_315	1	early-S
1CDX2_316	1	early-S
1CDX2_317	1	early-S
1CDX2_318	0	NA
1CDX2_321	0	NA
1CDX2_322	1	early-S
1CDX2_323	1	early-S
1CDX2_324	1	early-S
1CDX2_325	1	early-S
1CDX2_326	1	late-S/G2
1CDX2_327	1	early-S
1CDX2_328	0	NA
1CDX2_331	1	early-S
1CDX2_332	1	early-S
1CDX2_333	1	early-S
1CDX2_334	1	early-S
1CDX2_335	1	early-S
1CDX2_336	1	early-S
1CDX2_337	1	early-S
1CDX2_338	0	NA
1CDX2_341	0	NA
1CDX2_342	1	early-S
1CDX2_343	1	early-S
1CDX2_344	1	early-S
1CDX2_345	1	early-S
1CDX2_346	1	early-S
1CDX2_347	0	NA
1CDX2_348	1	early-S
1CDX2_351	0	NA
1CDX2_352	1	early-S
1CDX2_353	1	early-S
1CDX2_354	1	early-S
1CDX2_355	1	early-S
1CDX2_356	1	early-S
1CDX2_357	1	early-S
1CDX2_358	0	NA
1CDX2_361	0	NA
1CDX2_362	1	early-S
1CDX2_363	1	early-S
1CDX2_364	1	early-S
1CDX2_365	1	early-S
1CDX2_366	1	G1
1CDX2_367	1	early-S
1CDX2_368	0	NA
1CDX2_371	0	NA
1CDX2_372	1	early-S
1CDX2_373	0	NA
1CDX2_374	1	early-S
1CDX2_375	1	early-S
1CDX2_376	1	early-S
1CDX2_377	1	early-S
1CDX2_378	0	NA
1CDX2_381	0	NA
1CDX2_382	1	early-S
1CDX2_383	1	early-S
1CDX2_384	1	early-S
1CDX2_385	1	early-S
1CDX2_386	0	NA
1CDX2_387	1	early-S
1CDX2_388	0	NA
1CDX2_391	1	early-S
1CDX2_392	1	early-S
1CDX2_393	1	early-S
1CDX2_394	1	early-S
1CDX2_395	1	early-S
1CDX2_396	1	early-S
1CDX2_397	0	NA
1CDX2_398	0	NA
1CDX2_401	1	early-S
1CDX2_402	1	early-S
1CDX2_403	1	early-S
1CDX2_404	1	late-S/G2
1CDX2_405	1	early-S
1CDX2_406	0	NA
1CDX2_407	1	early-S
1CDX2_408	1	late-S/G2
1CDX2_411	0	NA
1CDX2_412	1	early-S
1CDX2_413	1	early-S
1CDX2_414	1	early-S
1CDX2_415	1	early-S
1CDX2_416	1	early-S
1CDX2_417	1	early-S
1CDX2_418	0	NA
1CDX2_421	1	early-S
1CDX2_422	1	early-S
1CDX2_423	1	early-S
1CDX2_424	1	early-S
1CDX2_425	1	early-S
1CDX2_426	1	early-S
1CDX2_427	1	early-S
1CDX2_428	0	NA
1CDX2_431	0	NA
1CDX2_432	1	early-S
1CDX2_433	1	early-S
1CDX2_434	0	NA
1CDX2_435	1	early-S
1CDX2_436	1	early-S
1CDX2_437	1	early-S
1CDX2_438	0	NA
1CDX2_441	1	early-S
1CDX2_442	1	early-S
1CDX2_443	1	early-S
1CDX2_444	1	early-S
1CDX2_445	1	early-S
1CDX2_446	1	early-S
1CDX2_447	1	early-S
1CDX2_448	0	NA
1CDX2_451	0	NA
1CDX2_452	1	early-S
1CDX2_453	0	NA
1CDX2_454	1	early-S
1CDX2_455	1	early-S
1CDX2_456	1	early-S
1CDX2_457	1	early-S
1CDX2_458	0	NA
1CDX2_461	1	early-S
1CDX2_462	0	NA
1CDX2_463	1	early-S
1CDX2_464	1	early-S
1CDX2_465	1	early-S
1CDX2_466	1	early-S
1CDX2_467	1	early-S
1CDX2_468	1	early-S
1CDX2_471	0	NA
1CDX2_472	1	early-S
1CDX2_473	1	early-S
1CDX2_474	1	early-S
1CDX2_475	1	early-S
1CDX2_476	1	early-S
1CDX2_477	1	early-S
1CDX2_478	0	NA
1CDX2_481	1	early-S
1CDX2_482	1	early-S
1CDX2_483	1	early-S
1CDX2_484	0	NA
1CDX2_485	0	NA
1CDX2_486	1	early-S
1CDX2_487	1	early-S
1CDX2_488	1	early-S
1CDX3_11	1	late-S/G2
1CDX3_12	1	late-S/G2
1CDX3_13	1	early-S
1CDX3_14	1	early-S
1CDX3_15	1	late-S/G2
1CDX3_16	1	late-S/G2
1CDX3_17	1	late-S/G2
1CDX3_18	0	NA
1CDX3_21	1	late-S/G2
1CDX3_22	1	early-S
1CDX3_23	1	late-S/G2
1CDX3_24	1	early-S
1CDX3_25	1	late-S/G2
1CDX3_26	0	NA
1CDX3_27	1	early-S
1CDX3_28	0	NA
1CDX3_31	1	late-S/G2
1CDX3_32	1	early-S
1CDX3_33	1	early-S
1CDX3_34	1	late-S/G2
1CDX3_35	1	late-S/G2
1CDX3_36	1	late-S/G2
1CDX3_37	0	NA
1CDX3_38	0	NA
1CDX3_41	0	NA
1CDX3_42	1	early-S
1CDX3_43	1	late-S/G2
1CDX3_44	0	NA
1CDX3_45	0	NA
1CDX3_46	1	late-S/G2
1CDX3_47	1	late-S/G2
1CDX3_48	0	NA
1CDX3_51	1	late-S/G2
1CDX3_52	1	late-S/G2
1CDX3_53	1	early-S
1CDX3_54	1	late-S/G2
1CDX3_55	1	late-S/G2
1CDX3_56	1	early-S
1CDX3_57	1	late-S/G2
1CDX3_58	0	NA
1CDX3_61	1	late-S/G2
1CDX3_62	1	late-S/G2
1CDX3_63	0	NA
1CDX3_64	1	early-S
1CDX3_65	1	late-S/G2
1CDX3_66	1	post-M
1CDX3_67	1	late-S/G2
1CDX3_68	1	late-S/G2
1CDX3_71	0	NA
1CDX3_72	1	early-S
1CDX3_73	1	late-S/G2
1CDX3_74	1	late-S/G2
1CDX3_75	1	late-S/G2
1CDX3_76	1	late-S/G2
1CDX3_77	0	NA
1CDX3_78	0	NA
1CDX3_81	1	late-S/G2
1CDX3_82	1	early-S
1CDX3_83	1	early-S
1CDX3_84	0	NA
1CDX3_85	1	G1
1CDX3_86	1	late-S/G2
1CDX3_87	1	early-S
1CDX3_88	0	NA
1CDX3_91	1	late-S/G2
1CDX3_92	1	late-S/G2
1CDX3_93	1	late-S/G2
1CDX3_94	1	late-S/G2
1CDX3_95	1	early-S
1CDX3_96	1	late-S/G2
1CDX3_97	1	late-S/G2
1CDX3_98	0	NA
1CDX3_101	0	NA
1CDX3_102	1	late-S/G2
1CDX3_103	1	late-S/G2
1CDX3_104	1	late-S/G2
1CDX3_105	1	late-S/G2
1CDX3_106	1	late-S/G2
1CDX3_107	1	late-S/G2
1CDX3_108	1	early-S
1CDX3_111	1	late-S/G2
1CDX3_112	1	late-S/G2
1CDX3_113	1	late-S/G2
1CDX3_114	1	late-S/G2
1CDX3_115	1	late-S/G2
1CDX3_116	0	NA
1CDX3_117	1	late-S/G2
1CDX3_118	0	NA
1CDX3_121	1	late-S/G2
1CDX3_122	1	late-S/G2
1CDX3_123	1	early-S
1CDX3_124	1	pre-M
1CDX3_125	1	late-S/G2
1CDX3_126	1	late-S/G2
1CDX3_127	1	late-S/G2
1CDX3_128	1	late-S/G2
1CDX3_131	1	early-S
1CDX3_132	1	early-S
1CDX3_133	1	late-S/G2
1CDX3_134	1	late-S/G2
1CDX3_135	1	late-S/G2
1CDX3_136	1	late-S/G2
1CDX3_137	1	early-S
1CDX3_138	1	early-S
1CDX3_141	1	late-S/G2
1CDX3_142	1	late-S/G2
1CDX3_143	1	early-S
1CDX3_144	1	late-S/G2
1CDX3_145	1	early-S
1CDX3_146	1	late-S/G2
1CDX3_147	1	early-S
1CDX3_148	0	NA
1CDX3_151	1	late-S/G2
1CDX3_152	1	early-S
1CDX3_153	1	early-S
1CDX3_154	1	late-S/G2
1CDX3_155	1	late-S/G2
1CDX3_156	1	late-S/G2
1CDX3_157	1	late-S/G2
1CDX3_158	1	late-S/G2
1CDX3_161	1	late-S/G2
1CDX3_162	0	NA
1CDX3_163	1	late-S/G2
1CDX3_164	1	early-S
1CDX3_165	1	late-S/G2
1CDX3_166	1	late-S/G2
1CDX3_167	0	NA
1CDX3_168	1	late-S/G2
