cell_nm	passed_qc	group
1CDS2_483	1	late-S/G2
1CDS2_484	1	late-S/G2
1CDS2_485	1	late-S/G2
1CDS2_486	0	NA
1CDS2_487	1	late-S/G2
1CDS2_488	0	NA
1CDS2_491	1	late-S/G2
1CDS2_492	1	late-S/G2
1CDS2_493	1	early-S
1CDS2_494	1	late-S/G2
1CDS2_495	1	G1
1CDS2_496	1	early-S
1CDS2_497	0	NA
1CDS2_498	0	NA
1CDS2_501	0	NA
1CDS2_502	1	G1
1CDS2_503	1	late-S/G2
1CDS2_504	0	NA
1CDS2_505	1	G1
1CDS2_506	1	late-S/G2
1CDS2_507	1	G1
1CDS2_508	0	NA
1CDS2_511	0	NA
1CDS2_512	1	early-S
1CDS2_513	1	early-S
1CDS2_514	1	post-M
1CDS2_515	1	late-S/G2
1CDS2_516	1	late-S/G2
1CDS2_517	1	late-S/G2
1CDS2_518	1	pre-M
1CDS2_521	1	late-S/G2
1CDS2_522	1	early-S
1CDS2_523	1	late-S/G2
1CDS2_524	1	late-S/G2
1CDS2_525	0	NA
1CDS2_526	1	late-S/G2
1CDS2_527	1	G1
1CDS2_528	0	NA
1CDS2_531	1	late-S/G2
1CDS2_532	0	NA
1CDS2_533	1	early-S
1CDS2_534	1	late-S/G2
1CDS2_535	1	late-S/G2
1CDS2_536	0	NA
1CDS2_537	1	late-S/G2
1CDS2_538	1	late-S/G2
1CDS2_541	1	G1
1CDS2_542	1	late-S/G2
1CDS2_543	1	G1
1CDS2_544	1	late-S/G2
1CDS2_545	1	late-S/G2
1CDS2_546	1	late-S/G2
1CDS2_547	1	post-M
1CDS2_548	0	NA
1CDS2_551	1	late-S/G2
1CDS2_552	1	pre-M
1CDS2_553	1	G1
1CDS2_554	1	late-S/G2
1CDS2_555	1	early-S
1CDS2_556	1	late-S/G2
1CDS2_557	1	late-S/G2
1CDS2_558	1	late-S/G2
1CDS2_561	1	late-S/G2
1CDS2_562	1	pre-M
1CDS2_563	1	late-S/G2
1CDS2_564	1	late-S/G2
1CDS2_565	1	early-S
1CDS2_566	1	early-S
1CDS2_567	1	late-S/G2
1CDS2_568	0	NA
1CDS2_571	1	early-S
1CDS2_572	1	late-S/G2
1CDS2_573	1	late-S/G2
1CDS2_574	1	late-S/G2
1CDS2_575	1	late-S/G2
1CDS2_576	1	late-S/G2
1CDS2_577	1	early-S
1CDS2_578	0	NA
1CDS2_581	1	late-S/G2
1CDS2_582	1	late-S/G2
1CDS2_583	1	early-S
1CDS2_584	1	early-S
1CDS2_585	1	early-S
1CDS2_586	1	late-S/G2
1CDS2_587	1	G1
1CDS2_588	0	NA
1CDS2_591	1	G1
1CDS2_592	1	late-S/G2
1CDS2_593	1	early-S
1CDS2_594	1	late-S/G2
1CDS2_595	1	early-S
1CDS2_596	1	early-S
1CDS2_597	1	early-S
1CDS2_598	0	NA
1CDS2_601	1	late-S/G2
1CDS2_602	1	G1
1CDS2_603	1	pre-M
1CDS2_604	1	early-S
1CDS2_605	1	late-S/G2
1CDS2_606	1	G1
1CDS2_607	1	late-S/G2
1CDS2_608	0	NA
1CDS2_611	1	early-S
1CDS2_612	1	late-S/G2
1CDS2_613	1	late-S/G2
1CDS2_614	1	early-S
1CDS2_615	0	NA
1CDS2_616	0	NA
1CDS2_617	1	late-S/G2
1CDS2_618	0	NA
1CDS2_621	0	NA
1CDS2_622	0	NA
1CDS2_623	0	NA
1CDS2_624	0	NA
1CDS2_625	0	NA
1CDS2_626	1	early-S
1CDS2_627	1	G1
1CDS2_628	1	pre-M
1CDS2_631	1	early-S
1CDS2_632	1	late-S/G2
1CDS2_633	1	late-S/G2
1CDS2_634	1	early-S
1CDS2_635	1	early-S
1CDS2_636	1	late-S/G2
1CDS2_637	0	NA
1CDS2_638	0	NA
1CDS2_641	1	early-S
1CDS2_642	1	late-S/G2
1CDS2_643	1	early-S
1CDS2_644	1	G1
1CDS2_645	1	late-S/G2
1CDS2_646	1	early-S
