bin1 bin2 count
1106 3083 17 2.900233180844394e-15
1108 3083 17 2.900233180844394e-15
1109 3083 26 3.188905832629607e-27
1110 3083 17 2.900233180844394e-15
1111 3083 13 1.3803128234085672e-10
1114 3083 16 4.733305106767513e-14
1116 3083 12 1.70073082152859e-09
1117 3083 15 7.247169998738484e-13
1118 3083 14 1.0369300709661378e-11
1119 3083 12 1.70073082152859e-09
1120 2474 12 1.70073082152859e-09
1120 3083 14 1.0369300709661378e-11
1121 3083 12 1.70073082152859e-09
1122 3083 14 1.0369300709661378e-11
1123 3083 14 1.0369300709661378e-11
1124 3083 12 1.70073082152859e-09
1125 3083 12 1.70073082152859e-09
1132 3083 12 1.70073082152859e-09
1133 3083 13 1.3803128234085672e-10
1145 3083 12 1.70073082152859e-09
1146 3083 13 1.3803128234085672e-10
1147 3083 15 7.247169998738484e-13
1148 3083 14 1.0369300709661378e-11
1149 3083 12 1.70073082152859e-09
1157 1721 17 2.900233180844394e-15
1160 3083 15 7.247169998738484e-13
1161 3083 13 1.3803128234085672e-10
1161 4605 25 8.197716641121687e-26
1162 3083 13 1.3803128234085672e-10
1176 3083 12 1.70073082152859e-09
1217 3395 16 4.733305106767513e-14
1221 4852 13 1.3803128234085672e-10
1229 3354 13 1.3803128234085672e-10
1276 1523 12 1.70073082152859e-09
1301 4173 13 1.3803128234085672e-10
1306 3167 15 7.247169998738484e-13
1308 2698 26 3.188905832629607e-27
1312 4573 14 1.0369300709661378e-11
1313 3429 13 1.3803128234085672e-10
1313 4384 27 1.1905697123076071e-28
1324 3588 12 1.70073082152859e-09
1335 2197 12 1.70073082152859e-09
1342 3922 18 1.6729175447252525e-16
1343 4299 22 1.0719681946871952e-21
1353 1475 17 2.900233180844394e-15
1353 1476 52 6.435742544053225e-69
1367 4308 19 9.112285032649403e-18
1368 4308 12 1.70073082152859e-09
1382 1628 17 2.900233180844394e-15
1386 4686 19 9.112285032649403e-18
1388 4236 14 1.0369300709661378e-11
1389 4009 21 2.3011720839783498e-20
1389 4723 44 3.321379847787039e-55
1390 4723 17 2.900233180844394e-15
1397 3083 16 4.733305106767513e-14
1397 3327 14 1.0369300709661378e-11
1397 3570 12 1.70073082152859e-09
1398 2454 32 4.8764269847877145e-36
1398 3083 22 1.0719681946871952e-21
1399 3083 22 1.0719681946871952e-21
1400 3083 14 1.0369300709661378e-11
1401 3083 17 2.900233180844394e-15
1402 3083 13 1.3803128234085672e-10
1404 3083 16 4.733305106767513e-14
1405 3083 12 1.70073082152859e-09
1407 3083 14 1.0369300709661378e-11
1408 3083 18 1.6729175447252525e-16
1409 3083 16 4.733305106767513e-14
1410 3083 12 1.70073082152859e-09
1411 3083 12 1.70073082152859e-09
