bin1 bin2 count
1367 4306 13 1.1809660127695147e-13
1372 4536 11 5.295629004843462e-11
1382 1628 12 2.6077579123087114e-12
1386 4684 13 1.1809660127695147e-13
1388 4008 15 1.927384551639843e-16
1389 4721 31 3.3591324642100694e-42
1397 3082 15 1.927384551639843e-16
1398 2454 21 1.8134971734419627e-25
1398 3082 15 1.927384551639843e-16
1400 3082 10 9.821273097995262e-10
1401 3082 18 7.678361779346212e-21
1402 3082 15 1.927384551639843e-16
1407 3082 10 9.821273097995262e-10
1408 3082 12 2.6077579123087114e-12
1409 3082 15 1.927384551639843e-16
1410 3082 14 4.947653881605816e-15
1411 3082 11 5.295629004843462e-11
1416 3082 10 9.821273097995262e-10
1417 3082 14 4.947653881605816e-15
1419 3082 11 5.295629004843462e-11
1422 3082 11 5.295629004843462e-11
1423 3082 11 5.295629004843462e-11
1429 4877 11 5.295629004843462e-11
1435 3082 13 1.1809660127695147e-13
1436 3082 11 5.295629004843462e-11
1437 3082 16 7.01250123312698e-18
1452 3082 10 9.821273097995262e-10
1455 3082 10 9.821273097995262e-10
1456 3082 15 1.927384551639843e-16
1457 3082 75 5.784017479400666e-131
1458 3082 12 2.6077579123087114e-12
1459 3082 10 9.821273097995262e-10
1502 4721 11 5.295629004843462e-11
1540 3048 10 9.821273097995262e-10
1541 3048 36 3.491856201616247e-51
1554 2456 10 9.821273097995262e-10
1567 3526 10 9.821273097995262e-10
1572 2731 28 5.404527720738542e-37
1652 3873 20 6.667824248885523e-24
1652 3874 13 1.1809660127695147e-13
1652 4507 25 6.115365475003797e-32
1663 1705 10 9.821273097995262e-10
1682 5091 10 9.821273097995262e-10
1685 2838 20 6.667824248885523e-24
1685 3293 11 5.295629004843462e-11
1685 4538 47 4.192259601318211e-72
1690 2448 12 2.6077579123087114e-12
1703 3082 37 5.058516123557018e-53
1703 4538 105 5.7490092564992664e-201
1704 3082 48 4.470350106813057e-74
1705 3082 30 1.8961388199174944e-40
1706 3082 32 5.741894182249742e-44
1707 3082 27 2.7228052120896986e-35
1708 3082 23 1.1556949285810923e-28
1709 3082 26 1.3175525175261321e-33
1710 3082 23 1.1556949285810923e-28
1711 3082 14 4.947653881605816e-15
1712 3082 17 2.3922504324956074e-19
1713 3082 31 3.3591324642100694e-42
1714 3082 13 1.1809660127695147e-13
1714 4299 10 9.821273097995262e-10
1716 3082 11 5.295629004843462e-11
1717 3082 13 1.1809660127695147e-13
1718 3082 17 2.3922504324956074e-19
1720 3082 20 6.667824248885523e-24
1721 3082 22 4.689997939580068e-27
1722 3082 16 7.01250123312698e-18
1723 3082 17 2.3922504324956074e-19
1724 3082 17 2.3922504324956074e-19
1725 3082 21 1.8134971734419627e-25
1726 3082 21 1.8134971734419627e-25
1727 3082 16 7.01250123312698e-18
1728 3082 19 2.3259209303803443e-22
1729 3082 17 2.3922504324956074e-19
1730 3082 11 5.295629004843462e-11
1731 3082 18 7.678361779346212e-21
1732 3082 20 6.667824248885523e-24
1733 3082 16 7.01250123312698e-18
1734 3082 16 7.01250123312698e-18
1735 3082 13 1.1809660127695147e-13
1736 3082 19 2.3259209303803443e-22
1737 3082 12 2.6077579123087114e-12
1738 3082 11 5.295629004843462e-11
1739 3082 14 4.947653881605816e-15
1740 3082 23 1.1556949285810923e-28
1741 3082 20 6.667824248885523e-24
1742 3082 14 4.947653881605816e-15
1743 3082 16 7.01250123312698e-18
1744 3082 13 1.1809660127695147e-13
1745 3082 17 2.3922504324956074e-19
1746 3082 11 5.295629004843462e-11
1747 3082 11 5.295629004843462e-11
1749 2364 12 2.6077579123087114e-12
1749 3082 12 2.6077579123087114e-12
1750 3082 22 4.689997939580068e-27
1751 3082 16 7.01250123312698e-18
1752 3082 10 9.821273097995262e-10
1753 3082 17 2.3922504324956074e-19
1755 3082 11 5.295629004843462e-11
1756 3082 13 1.1809660127695147e-13
1757 3082 13 1.1809660127695147e-13
1758 3082 13 1.1809660127695147e-13
1759 3082 12 2.6077579123087114e-12
1760 3082 16 7.01250123312698e-18
1764 3082 12 2.6077579123087114e-12
1766 3082 10 9.821273097995262e-10
